municipio,pessoas_10_anos_ou_mais_total,pessoas_10_anos_ou_mais_homens,pessoas_10_anos_ou_mais_mulheres,pessoas_10_anos_ou_mais_economicamente_ativas_total,pessoas_10_anos_ou_mais_economicamente_ativas_homens,pessoas_10_anos_ou_mais_economicamente_ativas_mulheres,pessoas_10_anos_ou_mais_ocupadas_total,pessoas_10_anos_ou_mais_ocupadas_homens,pessoas_10_anos_ou_mais_ocupadas_mulheres,codigo_unidade_geografica
Abreu e Lima,  72 426,  34 745,  37 681,  35 610,  21 714,  13 896,  26 071,  16 766,  9 306,2600054
Afogados da Ingazeira,  26 208,  12 474,  13 734,  14 494,  8 814,  5 681,  12 373,  7 747,  4 626,2600104
Afrânio,  11 848,  5 947,  5 900,  5 008,  3 444,  1 565,  4 726,  3 295,  1 430,2600203
Agrestina,  15 728,  7 600,  8 128,  8 418,  5 053,  3 365,  7 576,  4 532,  3 044,2600302
Água Preta,  21 824,  11 000,  10 824,  7 643,  5 325,  2 318,  5 043,  3 487,  1 557,2600401
Águas Belas,  27 816,  13 469,  14 347,  14 942,  9 336,  5 606,  12 815,  8 253,  4 562,2600500
Alagoinha,  10 055,  4 963,  5 092,  5 897,  3 525,  2 371,  5 205,  3 175,  2 030,2600609
Aliança,  29 279,  14 583,  14 696,  11 595,  7 702,  3 894,  8 893,  5 880,  3 013,2600708
Altinho,  17 724,  8 737,  8 987,  8 808,  5 517,  3 291,  7 979,  5 093,  2 885,2600807
Amaraji,  16 463,  8 440,  8 023,  7 515,  5 093,  2 422,  6 338,  4 390,  1 949,2600906
Angelim,  7 150,  3 482,  3 668,  3 928,  2 470,  1 459,  3 537,  2 245,  1 293,2601003
Araçoiaba,  11 611,  5 805,  5 806,  5 083,  3 502,  1 581,  3 700,  2 633,  1 066,2601052
Araripina,  53 712,  26 148,  27 564,  26 752,  17 623,  9 130,  24 090,  16 368,  7 721,2601102
Arcoverde,  49 037,  22 752,  26 285,  25 243,  14 674,  10 569,  20 730,  12 490,  8 240,2601201
Barra de Guabiraba,  8 272,  4 166,  4 106,  3 657,  2 545,  1 113,  3 042,  2 131,911,2601300
Barreiros,  30 694,  15 101,  15 593,  13 446,  8 548,  4 899,  9 175,  5 897,  3 278,2601409
Belém de Maria,  8 279,  4 150,  4 129,  3 194,  2 141,  1 054,  2 506,  1 770,737,2601508
Belém de São Francisco,  15 293,  7 332,  7 961,  8 509,  4 775,  3 733,  7 236,  4 231,  3 005,2601607
Belo Jardim,  53 894,  25 744,  28 150,  28 512,  17 181,  11 331,  24 250,  15 126,  9 124,2601706
Betânia,  8 915,  4 434,  4 481,  4 643,  3 060,  1 583,  4 355,  2 939,  1 417,2601805
Bezerros,  46 803,  22 258,  24 545,  21 220,  13 522,  7 697,  17 302,  11 303,  6 000,2601904
Bodocó,  23 875,  11 946,  11 929,  10 681,  7 366,  3 315,  9 740,  6 846,  2 894,2602001
Bom Conselho,  32 715,  15 460,  17 255,  16 970,  10 559,  6 411,  15 638,  9 878,  5 760,2602100
Bom Jardim,  29 635,  14 167,  15 469,  12 880,  8 128,  4 751,  11 843,  7 518,  4 325,2602209
Bonito,  29 274,  14 592,  14 682,  13 456,  9 052,  4 404,  11 398,  7 793,  3 605,2602308
Brejão,  6 761,  3 328,  3 433,  3 693,  2 340,  1 353,  3 496,  2 257,  1 239,2602407
Brejinho,  5 773,  2 836,  2 937,  3 168,  1 990,  1 179,  2 936,  1 866,  1 070,2602506
Brejo da Madre de Deus,  29 010,  14 322,  14 688,  15 639,  9 461,  6 178,  14 295,  8 765,  5 530,2602605
Buenos Aires,  9 641,  4 696,  4 945,  4 227,  2 825,  1 401,  3 453,  2 396,  1 057,2602704
Buíque,  33 719,  16 513,  17 206,  15 950,  10 326,  5 623,  14 425,  9 476,  4 949,2602803
Cabo de Santo Agostinho,  121 971,  59 446,  62 525,  59 876,  37 836,  22 040,  42 782,  28 393,  14 389,2602902
Cabrobó,  20 443,  9 887,  10 556,  11 638,  7 189,  4 448,  10 130,  6 460,  3 669,2603009
Cachoeirinha,  13 688,  6 491,  7 197,  7 078,  4 621,  2 457,  6 441,  4 364,  2 077,2603108
Caetés,  18 276,  8 827,  9 449,  10 742,  6 708,  4 034,  10 424,  6 591,  3 834,2603207
Calçado,  9 045,  4 400,  4 645,  6 420,  3 624,  2 796,  6 195,  3 538,  2 657,2603306
Calumbi,  5 555,  2 687,  2 868,  2 939,  1 740,  1 199,  2 826,  1 676,  1 150,2603405
Camaragibe,  104 542,  50 397,  54 145,  52 319,  31 358,  20 961,  40 704,  25 349,  15 355,2603454
Camocim de São Félix,  11 937,  5 764,  6 173,  5 522,  3 664,  1 858,  4 460,  3 046,  1 414,2603504
Camutanga,  6 191,  3 068,  3 123,  2 358,  1 716,642,  1 911,  1 318,593,2603603
Canhotinho,  19 510,  9 730,  9 780,  10 498,  6 464,  4 034,  9 358,  5 863,  3 496,2603702
Capoeiras,  15 035,  7 499,  7 536,  7 787,  5 167,  2 620,  7 454,  5 005,  2 448,2603801
Carnaíba,  13 877,  6 836,  7 041,  7 173,  4 666,  2 507,  6 645,  4 403,  2 242,2603900
Carnaubeira da Penha,  7 571,  3 885,  3 686,  3 691,  2 468,  1 223,  3 286,  2 256,  1 030,2603926
Carpina,  51 710,  24 539,  27 171,  24 831,  15 419,  9 413,  18 133,  11 823,  6 310,2604007
Caruaru,  204 112,  95 284,  108 828,  113 350,  66 150,  47 200,  99 033,  58 888,  40 145,2604106
Casinhas,  10 284,  4 995,  5 289,  5 141,  3 081,  2 060,  4 813,  2 901,  1 912,2604155
Catende,  24 369,  11 720,  12 649,  9 786,  6 168,  3 618,  7 241,  4 887,  2 354,2604205
Cedro,  7 234,  3 569,  3 665,  3 536,  2 409,  1 127,  3 222,  2 236,985,2604304
Chã de Alegria,  8 558,  4 215,  4 343,  3 450,  2 289,  1 161,  2 696,  1 831,865,2604403
Chã Grande,  14 861,  7 605,  7 256,  7 441,  4 914,  2 527,  6 432,  4 426,  2 006,2604502
Condado,  17 014,  8 472,  8 542,  7 357,  5 045,  2 312,  5 700,  3 864,  1 837,2604601
Correntes,  13 223,  6 412,  6 811,  7 490,  4 539,  2 951,  6 828,  4 319,  2 509,2604700
Cortês,  9 691,  4 789,  4 902,  4 083,  2 763,  1 320,  3 167,  2 238,928,2604809
Cumaru,  22 183,  11 299,  10 884,  8 984,  5 944,  3 040,  7 237,  4 869,  2 368,2604908
Cupira,  17 665,  8 296,  9 369,  8 900,  5 229,  3 671,  7 899,  4 691,  3 208,2605004
Custódia,  24 388,  11 996,  12 392,  11 931,  7 720,  4 211,  9 538,  6 285,  3 252,2605103
Dormentes,  11 117,  5 689,  5 428,  7 326,  4 463,  2 864,  7 149,  4 378,  2 771,2605152
Escada,  44 990,  21 989,  23 001,  18 967,  12 316,  6 651,  13 834,  9 388,  4 446,2605202
Exu,  24 689,  12 147,  12 542,  11 886,  8 115,  3 771,  10 752,  7 514,  3 238,2605301
Feira Nova,  14 912,  7 242,  7 670,  8 218,  4 995,  3 223,  7 341,  4 498,  2 843,2605400
Fernando de Noronha,  1 655,878,777,  1 175,639,536,  1 158,633,525,2605459
Ferreiros,  8 567,  4 278,  4 289,  3 810,  2 606,  1 204,  3 037,  2 063,975,2605509
Flores,  16 683,  8 172,  8 511,  8 537,  5 621,  2 916,  7 923,  5 339,  2 585,2605608
Floresta,  18 830,  9 084,  9 746,  10 011,  5 990,  4 020,  8 016,  5 037,  2 979,2605707
Frei Miguelinho,  10 678,  5 150,  5 528,  4 423,  2 864,  1 559,  4 115,  2 676,  1 439,2605806
Gameleira,  18 341,  9 212,  9 129,  7 086,  4 826,  2 260,  5 433,  3 868,  1 565,2605905
Garanhuns,  93 618,  43 462,  50 156,  49 757,  29 241,  20 516,  41 270,  24 641,  16 628,2606002
Glória do Goitá,  21 438,  10 509,  10 929,  12 174,  7 558,  4 616,  10 838,  6 922,  3 916,2606101
Goiana,  56 717,  27 711,  29 006,  26 741,  17 212,  9 529,  20 977,  13 652,  7 326,2606200
Granito,  4 716,  2 330,  2 386,  1 395,890,504,  1 198,791,407,2606309
Gravatá,  54 078,  25 917,  28 161,  27 773,  17 695,  10 078,  22 674,  14 996,  7 678,2606408
Iati,  13 298,  6 619,  6 679,  8 169,  5 031,  3 137,  7 565,  4 857,  2 708,2606507
Ibimirim,  18 236,  8 928,  9 308,  8 143,  5 032,  3 111,  6 666,  4 305,  2 361,2606606
Ibirajuba,  5 889,  2 973,  2 916,  3 070,  1 865,  1 205,  2 630,  1 656,974,2606705
Igarassu,  65 479,  31 700,  33 779,  30 167,  19 354,  10 813,  21 064,  14 241,  6 823,2606804
Iguaraci,  9 349,  4 601,  4 748,  4 768,  3 276,  1 492,  4 305,  3 072,  1 233,2606903
Ilha de Itamaracá,  12 852,  7 108,  5 744,  5 570,  3 642,  1 928,  4 532,  3 030,  1 503,2607604
Inajá,  9 811,  4 848,  4 963,  4 493,  2 888,  1 605,  4 166,  2 672,  1 494,2607000
Ingazeira,  3 589,  1 800,  1 789,  2 234,  1 441,793,  2 105,  1 397,708,2607109
Ipojuca,  45 450,  22 479,  22 971,  20 695,  13 773,  6 921,  15 426,  10 758,  4 668,2607208
Ipubi,  17 359,  8 482,  8 877,  8 121,  5 358,  2 764,  6 912,  4 712,  2 200,2607307
Itacuruba,  2 851,  1 354,  1 497,  1 468,814,654,  1 051,595,456,2607406
Itaíba,  20 085,  10 033,  10 052,  10 746,  7 404,  3 342,  10 210,  7 147,  3 063,2607505
Itambé,  27 087,  13 466,  13 621,  10 796,  7 551,  3 245,  8 708,  6 143,  2 565,2607653
Itapetim,  12 219,  6 030,  6 189,  6 493,  4 171,  2 321,  6 123,  3 919,  2 205,2607703
Itapissuma,  15 597,  7 530,  8 067,  7 767,  4 693,  3 074,  6 238,  3 998,  2 240,2607752
Itaquitinga,  11 659,  5 844,  5 815,  4 818,  3 418,  1 401,  3 858,  2 678,  1 180,2607802
Jaboatão dos Guararapes,  470 423,  221 775,  248 648,  247 319,  145 115,  102 205,  185 262,  115 112,  70 150,2607901
Jaqueira,  8 745,  4 364,  4 381,  3 452,  2 284,  1 167,  2 212,  1 503,709,2607950
Jataúba,  11 102,  5 479,  5 623,  7 154,  3 950,  3 204,  6 879,  3 770,  3 109,2608008
Jatobá,  10 435,  5 119,  5 316,  4 438,  2 832,  1 606,  3 298,  2 158,  1 140,2608057
João Alfredo,  21 752,  10 410,  11 342,  10 131,  6 138,  3 993,  9 292,  5 658,  3 634,2608107
Joaquim Nabuco,  12 086,  6 058,  6 028,  4 082,  3 039,  1 043,  3 415,  2 573,842,2608206
Jucati,  7 491,  3 667,  3 824,  4 204,  2 607,  1 597,  4 078,  2 554,  1 524,2608255
Jupi,  9 484,  4 538,  4 946,  6 017,  3 468,  2 549,  5 729,  3 346,  2 383,2608305
Jurema,  10 487,  5 174,  5 313,  5 850,  3 490,  2 359,  5 595,  3 345,  2 250,2608404
Lagoa do Carro,  10 435,  5 185,  5 250,  5 076,  3 339,  1 737,  4 375,  2 908,  1 467,2608453
Lagoa do Itaenga,  15 601,  7 631,  7 970,  6 939,  4 506,  2 432,  5 897,  3 899,  1 999,2608503
Lagoa do Ouro,  8 712,  4 477,  4 235,  5 798,  3 448,  2 350,  5 461,  3 376,  2 084,2608602
Lagoa dos Gatos,  12 281,  6 104,  6 177,  6 488,  4 201,  2 286,  6 000,  3 972,  2 029,2608701
Lagoa Grande,  14 253,  7 220,  7 033,  7 485,  4 728,  2 756,  6 616,  4 384,  2 232,2608750
Lajedo,  25 783,  12 203,  13 580,  14 845,  8 706,  6 139,  13 034,  7 854,  5 180,2608800
Limoeiro,  45 664,  21 414,  24 250,  22 474,  13 439,  9 034,  18 425,  11 119,  7 306,2608909
Macaparana,  17 524,  8 466,  9 058,  7 858,  4 982,  2 876,  6 326,  3 983,  2 343,2609006
Machados,  7 680,  3 662,  4 018,  3 944,  2 457,  1 487,  3 501,  2 252,  1 249,2609105
Manari,  9 201,  4 532,  4 669,  6 657,  3 821,  2 836,  6 540,  3 769,  2 771,2609154
Maraial,  10 662,  5 579,  5 084,  4 016,  3 024,992,  3 240,  2 532,707,2609204
Mirandiba,  10 011,  4 933,  5 078,  4 801,  3 030,  1 770,  4 355,  2 837,  1 518,2609303
Moreilândia,  8 670,  4 333,  4 337,  3 842,  2 523,  1 319,  3 711,  2 481,  1 230,2614303
Moreno,  39 752,  19 321,  20 431,  16 871,  11 169,  5 702,  12 714,  8 843,  3 871,2609402
Nazaré da Mata,  23 925,  11 548,  12 377,  10 474,  6 434,  4 041,  7 426,  4 781,  2 645,2609501
Olinda,  304 695,  140 038,  164 657,  162 515,  89 556,  72 959,  123 452,  70 424,  53 028,2609600
Orobó,  17 513,  8 406,  9 107,  9 243,  5 395,  3 848,  8 566,  5 036,  3 530,2609709
Orocó,  8 088,  4 049,  4 039,  4 420,  2 813,  1 607,  4 065,  2 654,  1 410,2609808
Ouricuri,  42 963,  21 179,  21 784,  19 480,  12 513,  6 966,  16 523,  11 019,  5 504,2609907
Palmares,  43 622,  20 752,  22 870,  18 958,  11 936,  7 023,  14 400,  9 264,  5 136,2610004
Palmeirina,  7 436,  3 660,  3 776,  3 704,  2 310,  1 394,  3 408,  2 145,  1 262,2610103
Panelas,  19 823,  9 774,  10 049,  11 857,  7 016,  4 841,  11 126,  6 686,  4 440,2610202
Paranatama,  8 491,  4 240,  4 251,  4 714,  2 891,  1 823,  4 625,  2 844,  1 781,2610301
Parnamirim,  14 886,  7 507,  7 379,  6 399,  4 415,  1 983,  5 796,  4 019,  1 777,2610400
Passira,  23 234,  11 385,  11 849,  11 486,  6 945,  4 540,  10 422,  6 245,  4 177,2610509
Paudalho,  35 069,  17 213,  17 856,  16 430,  10 752,  5 678,  12 101,  8 352,  3 749,2610608
Paulista,  216 747,  101 849,  114 898,  114 495,  65 199,  49 296,  86 430,  51 841,  34 589,2610707
Pedra,  15 691,  7 893,  7 798,  8 205,  5 480,  2 725,  7 628,  5 144,  2 484,2610806
Pesqueira,  46 035,  21 946,  24 089,  25 359,  14 602,  10 758,  21 749,  12 700,  9 049,2610905
Petrolândia,  21 163,  10 403,  10 760,  11 154,  7 154,  4 000,  9 030,  6 012,  3 018,2611002
Petrolina,  169 871,  81 777,  88 094,  92 663,  55 744,  36 919,  76 279,  47 884,  28 395,2611101
Poção,  8 660,  4 093,  4 567,  6 584,  3 204,  3 380,  6 346,  3 016,  3 330,2611200
Pombos,  18 952,  9 307,  9 645,  9 666,  6 103,  3 563,  8 669,  5 573,  3 096,2611309
Primavera,  8 828,  4 561,  4 267,  3 799,  2 721,  1 079,  3 017,  2 219,798,2611408
Quipapá,  17 693,  8 723,  8 970,  6 724,  4 644,  2 079,  5 578,  4 009,  1 569,2611507
Quixaba,  5 246,  2 632,  2 614,  2 795,  1 866,930,  2 635,  1 786,850,2611533
Recife, 1 183 444,  539 479,  643 965,  648 965,  351 657,  297 308,  510 090,  287 267,  222 824,2611606
Riacho das Almas,  14 423,  7 064,  7 359,  7 306,  4 649,  2 657,  6 637,  4 413,  2 224,2611705
Ribeirão,  32 767,  15 857,  16 910,  13 918,  9 264,  4 654,  9 873,  6 940,  2 933,2611804
Rio Formoso,  15 869,  8 049,  7 820,  6 810,  4 591,  2 219,  5 020,  3 669,  1 350,2611903
Sairé,  10 824,  5 373,  5 451,  5 655,  3 804,  1 851,  5 153,  3 533,  1 620,2612000
Salgadinho,  5 793,  2 869,  2 924,  3 193,  1 869,  1 324,  2 987,  1 790,  1 197,2612109
Salgueiro,  40 627,  19 370,  21 257,  19 172,  11 631,  7 541,  15 264,  9 485,  5 779,2612208
Saloá,  11 766,  5 715,  6 051,  6 552,  4 113,  2 439,  6 287,  4 002,  2 286,2612307
Sanharó,  12 473,  6 081,  6 392,  7 591,  4 622,  2 969,  6 844,  4 218,  2 626,2612406
Santa Cruz,  8 551,  4 339,  4 212,  3 280,  2 147,  1 133,  2 646,  1 737,909,2612455
Santa Cruz da Baixa Verde,  8 694,  4 300,  4 394,  4 367,  2 872,  1 496,  4 086,  2 713,  1 373,2612471
Santa Cruz do Capibaribe,  46 403,  21 886,  24 517,  32 591,  17 367,  15 224,  30 988,  16 501,  14 487,2612505
Santa Filomena,  9 185,  4 686,  4 499,  3 679,  2 502,  1 177,  3 445,  2 366,  1 079,2612554
Santa Maria da Boa Vista,  27 498,  13 937,  13 561,  16 644,  10 231,  6 413,  15 164,  9 556,  5 608,2612604
Santa Maria do Cambucá,  9 057,  4 410,  4 647,  5 067,  2 983,  2 084,  4 819,  2 854,  1 966,2612703
Santa Terezinha,  8 106,  3 927,  4 179,  4 347,  2 820,  1 527,  4 021,  2 621,  1 400,2612802
São Benedito do Sul,  7 974,  3 986,  3 988,  2 613,  1 918,695,  2 330,  1 736,593,2612901
São Bento do Una,  34 776,  17 186,  17 590,  17 078,  11 277,  5 800,  15 578,  10 376,  5 202,2613008
São Caitano,  26 058,  12 667,  13 391,  14 138,  8 835,  5 303,  11 946,  7 701,  4 245,2613107
São João,  15 394,  7 690,  7 703,  8 850,  5 671,  3 179,  8 286,  5 379,  2 907,2613206
São Joaquim do Monte,  15 492,  7 634,  7 858,  8 886,  5 426,  3 460,  7 680,  4 897,  2 783,2613305
São José da Coroa Grande,  10 554,  5 198,  5 356,  4 501,  2 888,  1 614,  3 078,  2 094,984,2613404
São José do Belmonte,  24 706,  12 177,  12 529,  11 322,  7 508,  3 814,  9 812,  6 698,  3 114,2613503
São José do Egito,  23 800,  11 518,  12 282,  12 669,  7 696,  4 973,  11 074,  6 934,  4 140,2613602
São Lourenço da Mata,  72 142,  34 977,  37 165,  34 100,  20 848,  13 252,  26 034,  16 533,  9 501,2613701
São Vicente Ferrer,  12 095,  5 955,  6 140,  5 272,  3 650,  1 622,  4 439,  3 068,  1 371,2613800
Serra Talhada,  56 659,  26 649,  30 010,  29 188,  18 092,  11 096,  25 455,  16 563,  8 892,2613909
Serrita,  13 528,  6 737,  6 791,  7 096,  4 740,  2 356,  6 138,  4 357,  1 781,2614006
Sertânia,  25 443,  12 235,  13 208,  10 599,  6 896,  3 703,  8 249,  5 642,  2 607,2614105
Sirinhaém,  25 113,  12 692,  12 421,  9 854,  6 966,  2 889,  7 724,  5 647,  2 077,2614204
Solidão,  4 220,  2 112,  2 108,  2 313,  1 498,816,  2 182,  1 428,753,2614402
Surubim,  40 471,  19 177,  21 294,  21 486,  12 803,  8 683,  18 713,  11 323,  7 391,2614501
Tabira,  19 144,  9 348,  9 796,  10 721,  6 807,  3 914,  9 719,  6 286,  3 434,2614600
Tacaimbó,  10 405,  5 033,  5 373,  5 302,  3 292,  2 011,  4 968,  3 055,  1 913,2614709
Tacaratu,  13 088,  6 524,  6 564,  7 014,  4 170,  2 844,  6 383,  3 791,  2 592,2614808
Tamandaré,  12 970,  6 713,  6 257,  5 896,  3 899,  1 997,  4 193,  2 938,  1 255,2614857
Taquaritinga do Norte,  15 554,  7 675,  7 879,  8 423,  4 993,  3 430,  7 687,  4 580,  3 107,2615003
Terezinha,  4 925,  2 364,  2 561,  2 468,  1 520,948,  2 134,  1 439,694,2615102
Terra Nova,  5 918,  2 979,  2 939,  3 635,  2 298,  1 337,  3 393,  2 181,  1 211,2615201
Timbaúba,  44 883,  21 457,  23 426,  22 149,  14 060,  8 089,  17 651,  11 456,  6 195,2615300
Toritama,  16 794,  8 179,  8 615,  10 539,  6 255,  4 284,  10 296,  6 109,  4 188,2615409
Tracunhaém,  9 897,  4 937,  4 960,  4 334,  2 894,  1 440,  3 571,  2 398,  1 174,2615508
Trindade,  16 561,  8 045,  8 516,  8 389,  5 409,  2 980,  6 941,  4 705,  2 236,2615607
Triunfo,  12 383,  5 725,  6 657,  6 144,  3 713,  2 431,  5 575,  3 427,  2 147,2615706
Tupanatinga,  15 340,  7 530,  7 810,  7 945,  4 918,  3 026,  7 414,  4 637,  2 777,2615805
Tuparetama,  6 358,  3 079,  3 279,  2 890,  1 731,  1 160,  2 398,  1 467,931,2615904
Venturosa,  10 673,  5 199,  5 474,  4 980,  3 277,  1 704,  4 422,  2 979,  1 443,2616001
Verdejante,  6 801,  3 340,  3 461,  2 528,  1 721,806,  2 374,  1 629,745,2616100
Vertente do Lério,  6 608,  3 207,  3 401,  3 066,  1 966,  1 100,  2 952,  1 882,  1 070,2616183
Vertentes,  11 996,  5 803,  6 193,  5 459,  3 368,  2 091,  4 984,  3 066,  1 918,2616209
Vicência,  22 193,  11 081,  11 112,  8 825,  6 138,  2 687,  7 375,  5 261,  2 114,2616308
Vitória de Santo Antão,  94 494,  45 287,  49 207,  46 321,  29 855,  16 465,  37 466,  25 299,  12 167,2616407
Xexéu,  10 089,  5 081,  5 008,  3 874,  2 616,  1 257,  3 021,  2 089,931,2616506
